Second,Volume (dB)
0,-28.2
1,-21.4
2,-18.9
3,-10.6
4,-13.4
5,-16.2
6,-10.2
7,-7.6
8,-9.6
9,-8.8
10,-7.6
11,-6.8
12,-6.5
13,-8.9
14,-6.9
15,-7.1
16,-7.1
17,-7.1
18,-5.6
19,-6.2
20,-8.3
21,-5.8
22,-5.8
23,-5.8
24,-6.5
25,-5.9
26,-5.7
27,-6.6
28,-7.6
29,-7.0
30,-5.9
31,-6.9
32,-9.6
33,-7.0
34,-8.7
35,-8.0
36,-8.7
37,-8.5
38,-7.4
39,-6.4
40,-6.5
41,-7.2
42,-5.8
43,-5.3
44,-6.2
45,-6.0
46,-6.6
47,-6.3
48,-6.3
49,-5.7
50,-7.6
51,-7.9
52,-7.9
53,-7.6
54,-7.1
55,-5.7
56,-5.8
57,-6.4
58,-6.9
59,-8.3
60,-7.2
61,-8.9
62,-7.7
63,-6.2
64,-4.2
65,-7.4
66,-7.8
67,-7.6
68,-7.8
69,-7.4
70,-7.0
71,-8.1
72,-6.9
73,-8.1
74,-7.8
75,-7.9
76,-9.5
77,-8.5
78,-7.7
79,-8.6
80,-9.0
81,-6.9
82,-7.1
83,-8.1
84,-7.1
85,-6.4
86,-4.8
87,-7.0
88,-6.5
89,-7.1
90,-5.8
91,-6.9
92,-7.7
93,-5.3
94,-8.0
95,-5.7
96,-6.7
97,-6.5
98,-5.3
99,-5.8
100,-6.8
101,-7.2
102,-6.5
103,-7.2
104,-6.2
105,-5.5
106,-6.7
107,-7.4
108,-8.3
109,-10.4
110,-18.3
111,-28.0
112,-17.8
113,-29.8
114,-29.4
115,-20.7
116,-30.3
117,-29.4
118,-9.1
119,-12.3
120,-14.6
121,-15.0
122,-11.1
123,-12.1
124,-9.3
125,-9.6
126,-8.3
127,-9.0
128,-9.8
129,-11.9
130,-9.0
131,-9.3
132,-9.8
133,-10.1
134,-12.2
135,-10.5
136,-9.9
137,-11.9
138,-9.2
139,-10.9
140,-9.8
141,-8.8
142,-8.5
143,-10.1
144,-8.6
145,-9.3
146,-9.9
147,-6.9
148,-6.9
149,-10.6
150,-10.3
151,-10.4
152,-10.6
153,-10.9
154,-10.8
155,-10.7
156,-10.9
157,-10.2
158,-10.3
159,-10.8
160,-10.2
161,-10.8
162,-10.6
163,-10.0
164,-9.5
165,-9.2
166,-9.6
167,-12.4
168,-9.9
169,-11.2
170,-12.0
171,-9.8
172,-12.7
173,-11.9
174,-12.6
175,-9.9
176,-10.4
177,-10.8
178,-13.8
179,-9.6
180,-16.9
181,-11.4
182,-14.6
183,-10.7
184,-11.1
185,-10.9
186,-9.6
187,-8.8
188,-9.3
189,-9.4
190,-8.5
191,-7.4
192,-8.3
